申請編號,執照號數,經營者名單,語音單純轉售服務,非E ．1 6 4 網路電話服務,E ．1 6 4 網路電話服務,批發轉售服務,公司內部網路通信服務,頻寬轉售服務,語音會議服務,網際網路接取服務,存轉網路服務,存取網路服務,視訊會議服務,數據交換通信服務,付費語音資訊服務,行動轉售服務,行動轉售及加值服務
8006,5209200028,聖祥電信股份有限公司,,,,V,,,,,,,,,,,
8007,4109200055,華聯電信股份有限公司,V,V,,,V,,V,V,V,,,,,,
8008,5209200054,全盛國際科技股份有限公司,,,,V,,,,,,,,,,,
8009,5209800001,大揚有線電視股份有限公司,,,,,,,,V,,,,,,,
8015,5009300017,台固媒體股份有限公司,,,,,,,,V,,,,,,,
8017,5209300047,數碼網路科技股份有限公司,,,,,,,,,,,,,V,,
8021,5209300048,大嘉義行銷管理股份有限公司,,,,,,,,V,,,,,,,
8024,5209300058,快易通網路科技股份有限公司,,,,,,,,V,,,,,,,
8025,5209400046,藍網電訊有限公司,,,,V,,,,,,,,,,,
8026,5209300067,威士電訊有限公司,V,V,,V,,,,,,,,,,,V
8027,5209300089,南國有線電視股份有限公司,,,,,,,,V,,,,,,,
8028,5209300080,珼爾科技有限公司,,,,V,,,,,,,,,,,
8030,5209300094,華網資訊社,,,,V,,,,,,V,V,,,,
8040,5209400070,金福樂國際寬頻電信有限公司,,,,V,,,,,,,,,,,
8043,5209400081,眾意傳播股份有限公司,,,,,,,,V,,,,,,,
8045,5209500001,聯答科技有限公司,,,,,,,,V,,V,,,,,
8047,5009500037,宇冠電通股份有限公司,,,,V,,,,,,,,,V,,
8049,4109500001,一化有限公司,,,,V,,,,,,,,,,,
8051,4109600057,發現資訊有限公司,,,,V,,,,,,,,,,,
8052,4109500019,全科資訊有限公司,,,,,,,,V,,,,,,,
8053,5109600013,五洋科技股份有限公司,,,,V,,,,,,,,,,,
8055,4109600008,天承行,,,,,,,,,,,,,V,,
8057,4109600026,宅頻道光電科技有限公司,,,,,,,,V,,,,,,,
8058,5209600045,聯網寬頻電訊,,,,,,,,V,,,,,,,
8067,5209800003,中華金廈聯網股份有限公司,,,,V,,,,V,,,,,,,
8068,4109700067,網際科技股份有限公司,,,,,,,,V,,,,,,,
8070,4109800016,鈺峰弘科技有限公司,,,,,,,,V,,,,,,,
8071,4109800017,山鉧科技資訊有限公司,,,,V,,,,,,V,,,,,
8072,4109800019,鴻翔國際雲端有限公司,,,,V,,,,,,,,,V,,
8073,4109800020,第三波科技有限公司,,,,,,,,V,,,,,,,
8074,4109800022,利洋資訊有限公司,,,,,,,,V,,,,,,,
8075,5209900004,全家電訊有限公司,,,,V,,,,,,,,,,,
8076,4109800023,中華聯興科技股份有限公司,,,,,,,,,,,,,V,,
8077,5209900002,三冠王有線電視股份有限公司,,,,,,V,,V,,,,,,,
8078,5209900001,雙子星有線電視股份有限公司,,,,,,V,,V,,,,,,,
8079,5209900005,您的生活網行銷顧問有限公司,,,,,,,,V,,,,,,,
8082,5209900010,奇星數位科技有限公司,,,,,,,,V,,,,,,,
8083,5209900011,菘和資訊有限公司,,,,,,,,V,,,,,,,
8085,5209900013,萬通國際人力開發股份有限公司,,,,V,,,,,,,,,,V,
8086,5210000001,益慶科技有限公司,,,,,,,,V,,,,,,,
8088,5210000002,碼鈦科技有限公司,,,,,,,,V,,,,,,,
8089,5210100001,全球通資訊有限公司,,,,V,,,,,,,,,,,
8090,5210100005,同學系統科技有限公司,,,,,,,,V,,,,,,,
8091,5210100010,台灣鼎鑫電通有限公司,,,,,,,,V,,,,,,,
8092,5210100004,智冠科技股份有限公司,,,,,,V,,V,,,,,,,
8093,5210100003,振台電腦科技有限公司,,,,,,,,V,,,,,,,
8094,5210100007,雲高科技股份有限公司,,,,,,,,V,,,,,,,
8095,5210100008,博森數碼科技有限公司,,,,,,,,V,,,,,,,
8096,5210100009,博程資訊有限公司,,,,,,,,V,,,,,,,
8097,5210100012,佳明電信科技有限公司,,,,V,,,,,,,,,,,
8098,5210100013,統悅寬頻網路,,,,,,,,V,,,,,,,
8099,5210100015,第六台數碼有限公司,,,,,,,,V,,,,,,,
8100,5210200002,亞太新科技有限公司,,,,,,,,V,,,,,,,
8101,5210200003,美智達興業有限公司,,,,V,,,,,,,,,,,
8102,5210200004,通寶移動通信有限公司,,,,,,,,,,,,,,V,
8103,5210200005,永訊資訊有限公司,,,,,,,,V,,,,,,,
8104,5210300001,東台有線電視事業股份有限公司,,,,,,,,V,,,,,,,
8105,5210200007,迅聯科技有限公司,,,,,,,,V,,,,,,,
8106,5210200006,晶品數位科技有限公司,,,,,,,,V,,,,,,,
