AD5D	苗圃整理
AF66	病蟲害防治
B270	犁土整地
B941	農作物施肥
B941	農作物噴藥
B941	農作物採收
B941	農作物種植
B941	農作物中耕除草
B9AB	鼠害防除
B941	農產品清洗
B941	農產品分級包裝
BD5C	穀類乾燥
AE61	家禽孵育
AE61	家畜剪毛
AE61	家畜禽配種
B34A	蛋類選洗包裝
C364	寵物配種
B941	農藥調配
B941	農工徵集與管理
B941	農田給水灌溉與排水
A6CB	竹種植
AA4C	林木種植
AA4C	林木採種
AA4C	林木育苗
AA4C	林木撫育
AA4C	林木病蟲害防治
B4CB	森林防火
B4CB	森林保護
A473	山地木材集運
A4EC	木材溜集
A4EC	木材砍伐及粗解
A4EC	木、竹醋液收集（林間簡易窯）
A55D	包工伐木
A6CB	竹林砍伐
BF4E	燒製竹炭（林間簡易窯）
BF4E	燒製木炭（林間簡易窯）
A4A4	中藥採集
A4D1	天敵昆蟲採集
A5D6	皮材收集
A9F8	昆蟲捕捉
AA47	果實採集
AA51	松脂採集
AD61	苔蘚採集
AEDA	根材收集
B0ED	堅果採集
B3A5	野蜂蜜採集
B3A5	野蠶繭採集
B3A5	野菌菇採集
B4D3	植物染料採集
BEF0	樹膠採集
BEF0	樹液採集
BEF0	樹脂採集
BFB9	蕨類採集
ECFB	檞寄生採集
C2CE	蟲蠟採集
C3C3	藤採集
C4F5	蘭採集
C65B	觀賞用枝葉採集
AA75	沿岸籠具漁撈
AA75	沿岸遊漁
AA75	沿岸刺網
AA75	沿岸延繩釣
AA75	沿岸火誘網
AA75	沿岸定置網
AA75	沿岸鏢魚
AA75	沿岸一支釣
AA75	沿岸地曳網
AAF1	近海扒網
AAF1	近海刺網
AAF1	近海巾著網
AAF1	近海火誘網
AAF1	近海一支釣
AAF1	近海曳繩釣
AAF1	近海追逐網
AAF1	近海延繩釣
AAF1	近海籠具漁撈
AAF1	近海中小型拖網
AAF1	近海圍網
ACC0	珊瑚採集
ACC3	珍珠採集
AEFC	海洋植物採集
B3BD	魚貝苗採捕
BBB7	遠洋雙船拖網
BBB7	遠洋延繩釣
BBB7	遠洋圍網
BBB7	遠洋單船拖網
BBB7	遠洋棒受網
A4F4	水庫漁撈
AA65	河川漁撈
AEFC	海洋箱網養殖
B24C	淺海養殖
B348	蚵養殖
A4BA	內陸箱網養殖
A8A9	貝介養殖
ACF5	紅蟲養殖
AF51	烏龜養殖
B248	淡水魚塭養殖
B3BD	魚苗孵育
B5EC	蛙類養殖
BDBC	蝦養殖
C3C9	蟹養殖
C4D0	鹹水魚塭養殖
C5BE	鱉養殖
C65B	觀賞水族繁殖
C673	鱷魚養殖
A5DB	石油及天然氣探勘
A5DB	石油及天然氣開發生產
AA6F	油氣井設備安裝
A46A	大理石採取
A4F5	火黏土採取
A4F9	片麻岩採取
A5BF	正長岩採取
A5C8	玄武岩採取
A5D5	白雲石採取
A5DB	石英岩採取
A5DB	石灰石採取
A677	安山岩採取
A8A4	角閃岩採取
AA4F	板岩採取
AABF	矽砂採取
AAE1	花崗岩採取
ACE2	砂岩採取
ACE2	砂石採取
ADB6	頁岩採取
B07B	閃長岩採取
B2A1	瓷土採取
B344	蛇紋石採取
B768	搬土採取
BBC4	酸性白土採取
BDF7	輝綠岩採取
C248	黏土採取
A4E8	方解石採取
A4F4	水晶礦採取
A5C9	玉礦採取
A5C9	玉髓礦採取
A5DB	石棉礦採取
AA64	泥炭採取
AAF7	金礦採取
AAF8	長石礦採取
AEFC	海水曬鹽
B2B8	硫磺礦採取
B6B3	雲母礦採取
B7C6	滑石礦採取
B7D1	煤礦採取
BBC8	銀礦採取
BBC9	銅礦採取
C0E6	燧石採取
C54B	鐵礦採取
AE61	家禽屠宰
AE61	家畜屠宰
B14F	屠體評級
A74E	冷凍冷藏肉類製造
A4F5	火腿製造
ADBB	香腸製造
B2E6	脫水肉品製造
BE4D	醃漬肉品製造
A74E	冷凍冷藏水產製造
AEE3	柴魚製造
B2E6	脫水水產品製造
B3BD	魚粉製造
B3BD	魚片製造
B3BD	魚子製造
B3BD	魚漿製造
B3BD	魚子醬製造
BE4D	醃漬水產品製造
A74E	冷凍冷藏蔬菜製造
A74E	冷凍冷藏果實製造
A448	人造肉製造
A568	去皮蔬果製造
A5CA	瓜子堅果製造
A8A7	豆漿製造
A8A7	豆豉製造
A8A7	豆腐製造
A8A7	豆皮製造
A8A7	豆花製造
A8A7	豆餡製造
A8A7	豆乾製造
A8A7	豆腐乳製造
AA47	果膠製造
AA47	果醬製造
AA47	果凍製造
AA47	果汁粉製造
AAE1	花生醬製造
B0AE	乾果製造
B0ED	堅果醬製造
B2E6	脫水種子製造
B2E6	脫水蔬菜製造
B2E6	脫水果實製造
BB65	蜜餞製造
BDAD	蔬果濃縮物製造
BE4D	醃漬果實製造
BE4D	醃漬蔬菜製造
C241	鮮榨蔬果原汁製造
A448	人造奶油製造
A46A	大豆油製造
AA6F	油籽餅製造
ADB9	食用動物油脂製造
ADB9	食用動植物混合油製造
AF4E	烤酥油製造
B269	烹飪用油製造
BEF1	橄欖油製造
A5A4	奶粉製造
A642	冰淇淋製造
A642	冰淇淋粉製造
A658	合成乳（還原乳）製造
A743	低脂乳製造
A8C5	乳酪製造
A8C5	乳油製造
AB4F	保久乳製造
B0AA	高脂乳製造
B0AE	乾酪製造
B0AE	乾酪素製造
B2E6	脫脂乳製造
B56F	發酵乳製造
B7D2	煉乳製造
BDD5	調味乳製造
C075	優格製造
C241	鮮乳製造
BD5C	穀類脫殼
BD5C	穀類精碾
A46A	大麥粉製造
A569	可可粉製造
A5A9	巧克力粉製造
A7F6	杏仁粉製造
A8A7	豆類磨粉
AAC4	秈米粉製造
CDC0	芡粉製造
ADB9	食用預拌粉製造
B374	速食穀粉製造
B374	速食穀片製造
B3C1	麥麩加工
B5D9	菱粉製造
B6C0	黃豆粉製造
B85C	稞麥粉製造
B865	粳米粉製造
B8AF	葛粉製造
BD5C	穀類軋片
BF50	燕麥粉製造
EB4C	蕎麥粉製造
C1A6	薯類製籤
C1A6	薯類製粉
C1A6	薯類製片
C3C2	藕粉製造
C47A	糯米粉製造
C4D1	麵粉製造
C4D1	麵糰製造
A5C9	玉米碾磨
AA47	果糖製造
AA47	果寡糖製造
B0AA	高果糖漿製造
B2A7	異麥芽寡糖製造
B3C1	麥芽糖製造
B8B2	葡萄糖製造
B8B2	葡萄糖糖漿製造
BEF0	樹薯粉製造
BEFD	澱粉製造
BEFD	澱粉糖製造
C4D1	麵筋製造
B074	配合飼料配製
B0CA	動物性單一飼料製造
B4D3	植物性單一飼料製造
B8C9	補助飼料配製
B97D	飼料添加物配製
A4A4	中式茶食製造
A55D	包子饅頭製造
A67E	年糕製造
A6CC	米香製造
A6CC	米果製造
A6E8	西點製造
B34A	蛋糕製造
B3C2	麻糬製造
B56F	發糕製造
BBE6	餅乾製造
BBF1	鳳梨酥製造
C4D1	麵包製造
C5DA	蘿蔔糕製造
A556	冬粉製造
A6CC	米粉製造
AFBB	粉條製造
B371	通心粉製造
B374	速食粉條製造
B374	速食米粉製造
B374	速食麵條製造
C4D1	麵條製造
A4E8	方糖製造
A642	冰糖製造
ACE2	砂糖製造
ACE2	砂糖精煉
ACF5	紅糖製造
AFBB	粉糖製造
B247	液糖製造
B6C2	黑糖製造
BF7D	糖漿製造
BF7D	糖蜜製造
C2E0	轉化糖製造
A466	口香糖製造
A4F4	水果糖製造
A4FB	牛軋糖製造
A4FB	牛奶糖製造
A5A4	奶油糖製造
A5A9	巧克力糖製造
AAE1	花生糖製造
B36E	軟糖製造
B577	硬糖製造
BF7D	糖衣乾果製造
A55B	加味茶製造
A55D	包種茶製造
ACF5	紅茶製造
ADBB	香片茶製造
AF51	烏龍茶製造
BAF1	綠茶製造
A473	山葵膏製造
A4F4	水果醋製造
A846	沙拉醬製造
A846	沙茶醬製造
A8A7	豆瓣醬製造
A8FD	味噌製造
A8FD	味精製造
A940	咖哩粉製造
A940	咖哩醬製造
AADB	芝麻醬製造
AAE3	芥末製造
AD4A	胡椒粉製造
ADBB	香辛料製造
AED6	核酸製造
AF51	烏醋製造
B2A2	甜辣醬製造
B2CA	粗鹽製造
B6C2	黑胡椒醬製造
BAEB	精鹽製造
BB5B	蒜粉製造
BB5B	蒜汁製造
BBB6	辣椒醬製造
BBB6	辣椒粉製造
BD5C	穀類醋製造
BDB5	蔥粉製造
BDBC	蝦醬製造
BDBC	蝦油製造
BDD5	調配醋製造
BEA2	麩酸製造
BFBB	蕃茄醬製造
C1A4	薑粉製造
C2E6	醬油製造
C2E6	醬油膏製造
C4A8	蘑菇醬製造
C4AC	蘇梅醬製造
C4AE	蠔油製造
C643	釀造醋製造
A4F4	水產罐頭製造
A4F4	水果罐頭製造
A6D7	肉類罐頭製造
A74E	冷凍盒餐製造
A74E	冷凍披薩製造
A74E	冷凍粽子製造
A74E	冷凍調理食品製造
AFC0	素味罐頭製造
B4F6	湯類罐頭製造
B5E6	菜餚罐頭製造
BDAD	蔬菜罐頭製造
C249	點心罐頭製造
C2E6	醬菜罐頭製造
A448	人造蜂蜜製造
A454	三明治製造
A57C	四物飲製造
A5A4	奶精製造
A5AC	布丁製造
A5AC	布丁粉製造
A5D5	白發粉製造
A642	冰塊製造
A6CC	米漿製造
A6D7	肉汁製造
A6D7	肉鬆製造
A6D7	肉凍製造
A6D7	肉汁粉製造
A759	即溶咖啡製造
A8A1	芋圓製造
A940	咖啡粉製造
AA6F	油飯製造
ACB5	炸豬皮製造
ACF5	紅麴製造
ADB9	食用膠製造
ADB9	食用冰製品製造
AF66	病人用食品製造
B2A2	甜湯製造
B34A	蛋製品製造
B374	速食湯製造
B374	速食粥製造
B3BD	魚鬆製造
B54A	焦糖製造
B5AC	筋膠製造
B6BA	飯糰製造
B8C3	蜆精製造
B8FB	較大嬰兒配方輔助食品製造
BBC3	酵母製造
BD6B	糊精製造
BDD5	調味牛肉乾製造
BDD5	調味豬肉乾製造
C05C	餐盒食品製造
C0A6	嬰兒配方食品製造
C2FB	雞精製造
C37A	爆米花製造
C4A6	藻類食品製造
A5CD	生啤酒製造
B0E0	啤酒製造
B6C2	黑啤酒製造
A641	再製酒製造
AEC6	料理酒製造
BB5D	蒸餾酒製造
C643	釀造酒製造
A55B	加味水製造
A55D	包裝飲用水製造
A940	咖啡飲料製造
AA47	果汁飲料製造
AFF9	茶類飲料製造
B3C1	麥芽飲料製造
B6C2	黑麥汁飲料製造
B942	運動飲料製造
BAD2	碳酸飲料製造
BB5D	蒸餾水製造
BDAD	蔬菜汁飲料製造
BDAD	蔬果汁飲料製造
BE4C	醋飲料製造
BEF7	機能性飲料製造
C471	礦泉水製造
AFC8	紙菸製造
B3B7	雪茄製造
B5D2	菸絲製造
C45A	嚼菸製造
A455	下腳棉處理
A455	下腳毛處理
A4F2	毛纖維處理
A4F2	毛條併製
A4F2	毛紗（線）紡製
A4F2	毛混紡紗（線）紡製
A6CF	羊毛脫脂
A6CF	羊毛碳化處理
AEDE	梳毛紗（線）紡製
B4D6	棉纖維處理
B4D6	棉紗（線）紡製
B4D6	棉混紡紗（線）紡製
B9E3	嫘縈棉紗（線）紡製
B9E3	嫘縈棉混紡紗（線）紡製
BB45	聚酯棉紗（線）紡製
BB45	聚胺棉紗（線）紡製
BB45	聚胺棉混紡紗（線）紡製
BB45	聚酯棉混紡紗（線）紡製
BB45	聚丙烯腈棉紗（線）紡製
BB45	聚丙烯腈棉混紡紗（線）紡製
BB45	聚酯加工絲製造
BB45	聚胺加工絲製造
BB45	聚丙烯加工絲製造
BB45	聚丙烯腈加工絲製造
AFC8	紙紗紡製
B3C2	麻紗（線）紡製
B6B4	韌性植物纖維處理
C5FA	蠶絲紗（線）紡製
A4F2	毛梭織布製造
A4F2	毛混紡梭織布製造
B4D6	棉毛巾布製造
B4D6	棉梭織布製造
B4D6	棉混紡梭織布製造
A448	人造纖維毛巾布製造
A448	人造纖維混紡梭織布製造
A5A7	尼龍纖維梭織布製造
A8C8	亞克力纖維梭織布製造
AADA	芳香族聚醯胺纖維梭織布製造
B3CA	傘布製造
B7BB	溶劑型纖維素纖維梭織布製造
B9E3	嫘縈纖維梭織布製造
BB45	聚酯纖維梭織布製造
BB45	聚丙烯纖維梭織布製造
BDFC	輪胎簾布製造
ACC1	玻璃纖維布製造
ACC1	玻璃絲織品織製
B6EA	圓編針織布製造
B867	經編針織布製造
BEEE	橫編針織布製造
A4F2	毛巾織布製造
A4F2	毛絨花紗梭織布製造
A5E9	仿毛皮編織布製造
B0E9	圈絨梭織布製造
B3C2	麻梭織布製造
B6B4	韌性植物纖維梭織布製造
C5FA	蠶絲梭織布製造
A448	人造菜瓜布製造
A4A3	不織布紙巾製造
A4F4	水針不織布製造
A4F4	水軋不織布製造
AFBC	紡黏不織布製造
B077	針軋不織布製造
BCF6	熱融不織布製造
BDA6	膠合不織布製造
BFC4	融噴不織布製造
A5AC	布疋定型
A5AC	布疋染色
A5AC	布疋搖粒
A5AC	布疋起毛
A5AC	布疋印花
A5AC	布疋壓花
A5AC	布疋練漂
A5AC	布疋磨毛
A5AC	布疋貼合加工
A5AC	布疋植絨加工
A5AC	布疋塗佈加工
AFBD	紗線漂染
B6EC	塑膠皮布印染
C5D6	纖維漂染
A466	口罩縫製
A4F2	毛毯製造
A4F2	毛巾製造
A4F2	毛巾被製造
A642	冰箱把手套縫製
A661	地毯製造
A67C	帆布篷縫製
A67C	帆布床縫製
A67C	帆布衣櫃縫製
A6D5	耳罩縫製
A7C9	床單製造
A7C9	床罩製造
A846	沙發套縫製
A854	汽車椅套縫製
A8AE	車套縫製
A8EB	刺繡毛毯織製
A9D9	抹布製造
AA45	枕心縫製
AA45	枕頭製造
AA45	枕套縫製
AB42	雨篷縫製
AC7E	洗衣機套縫製
ADB0	降落傘縫製
AEE0	桌巾縫製
AF44	浴巾製造
B162	帳篷縫製
B1BE	掛毯製造
B1CF	救生衣製造
B2B4	眼罩縫製
B2EE	船帆縫製
B351	被套縫製
B351	被褥製造
B3CA	傘面縫製
B4D6	棉胎縫製
B5A1	窗簾製造
B9D4	墊子製造
BA58	旗幟縫製
BACE	睡袋縫製
BE42	遮陽篷製造
C26F	濾袋縫製
A475	工業用線網編結
A5A7	尼龍纜絞製
A5A7	尼龍索絞製
A5A7	尼龍繩絞製
A651	吊床網編結
A76C	吸油繩編製
A8BE	防水繩纜絞製
ABAB	垂繸織製
ADB1	面紗織製
AFF3	草繩絞製
B041	蚊帳織製
B05F	起重纖維繩纜絞製
B160	常用網袋編結
B2CA	粗棕繩編製
B2CA	粗麻繩編製
B2CA	粗尼龍繩編製
B3A8	釣魚線製造
B3C2	麻索絞製
B3C2	麻纜絞製
B3C2	麻繩絞製
B4C4	棕繩絞製
B4C4	棕網織製
B4C4	棕索絞製
B4C4	棕纜絞製
BAAE	漁網編製
BD75	線網織製
BEF7	機器用帶織製
C3B7	繩梯編製
A6A8	成衣繡製
A8EB	刺繡徽章織製
A8EB	刺繡花邊織製
A8EB	刺繡標籤織製
A9A9	帘幔繡製
AA41	服飾帶織製
AA6F	油布織製
AAE1	花邊織製
AEE0	桌圍繡製
AEF8	消防水帶織製
B1BE	掛屏繡製
B351	被面織製
B36E	軟匾繡製
B565	畫布織製
BA58	旗幟繡製
BA58	旗袍繡製
BA75	滾條織製
BAA3	漆布織製
BCD0	標籤織製
BE63	鞋帶織製
C0B2	徽章織製
C0B8	戲衣繡製
C0D6	氈類製造
C26F	濾布織製
C350	鬆緊帶織製
C47C	辮帶織製
C5D6	纖維床墊製造
A5AC	布質雨衣縫製
B1F4	梭織泳衣製造
B1F4	梭織襯衫縫製
B1F4	梭織制服縫製
B1F4	梭織外衣縫製
B1F4	梭織服裝訂製
B1F4	梭織運動服裝縫製
B1F4	梭織內衣縫製
B1F4	梭織束衣縫製
B1F4	梭織胸罩縫製
B1F4	梭織內褲縫製
B1F4	梭織束褲縫製
B1F4	梭織束腹縫製
B1F4	梭織睡衣縫製
B077	針織泳衣製造
B077	針織毛褲製造
B077	針織制服製造
B077	針織外衣製造
B077	針織毛衣製造
B077	針織襯衫製造
B077	針織運動服裝製造
B077	針織束衣縫製
B077	針織胸罩縫製
B077	針織內褲縫製
B077	針織束褲縫製
B077	針織束腹縫製
B077	針織睡衣縫製
B077	針織內衣縫製
AAF8	長襪製造
B575	短襪製造
BFC7	褲襪製造
AFBC	紡織手套縫製
B077	針織手套製造
AFF3	草帽製造
B077	針織帽製造
B5B7	絲絨帽製造
B6EC	塑膠編織帽製造
C0D6	氈帽製造
C2A7	禮帽製造
A4E2	手帕縫製
A651	吊帶縫製
B0B2	假領縫製
B3F2	圍巾頭巾製造
B5B7	絲巾縫製
B86A	綁腿製造
BBE2	領結縫製
BBE2	領帶縫製
BBE2	領巾縫製
BE76	髮網製造
C4FB	襪帶縫製
A4F2	毛皮修整
A4F2	毛皮剪裁
A4F2	毛皮繃製
A4F2	毛皮染色
A4F2	毛皮上蠟
A4F2	毛皮漂白
A4F2	毛皮硝製
A4F2	毛皮梳理
A5D6	皮革漂白
A5D6	皮革上光
A5D6	皮革染色
A5D6	皮革壓花
A5D6	皮革硬化
A5D6	皮革上漆
A641	再生皮製造
ADB1	面皮整製
B77D	榔皮整製
A4EC	木屐製造
A5D6	皮鞋製造
AFBC	紡織鞋製造
B6EC	塑膠鞋製造
BE63	鞋底製造
BE63	鞋跟製造
BEF3	橡膠鞋製造
A4BD	公事包製造
A4C6	化粧箱製造
A4C6	化粧包製造
A4E2	手提包製造
A4E2	手提電腦袋製造
A5D6	皮包製造
A5D6	皮夾製造
A6E6	行李箱製造
AD49	背包製造
AED1	書包製造
B879	腰包製造
B942	運動袋製造
BCD6	樂器盒及樂器提箱製造
A470	小件皮飾製造
A4F2	毛皮縫製
A4F2	毛皮暖帽縫製
A4F2	毛皮手套縫製
A4F2	毛皮護耳縫製
A4F2	毛皮圍領製造
A4F2	毛皮手筒縫製
A5D6	皮鞭製造
A5D6	皮帶製造
A5D6	皮衣製造
A5D6	皮管製造
A5D6	皮帽製造
A5D6	皮褲製造
A5D6	皮套製造
A5D6	皮手套製造
A5D6	皮墊圈製造
A5D6	皮圍裙製造
A5D6	皮馬勒製造
A5D6	皮齒輪製造
A5D6	皮革蛇管製造
A5D6	皮革鞍具製造
A5D6	皮革狗玩具製造
A5D6	皮革狗（貓）飾物製造
A5FE	全獸毛皮衣飾縫製
A5FE	全獸毛皮地毯製造
BAF4	網皮製造
BD73	編皮製品製造
BEF7	機軸護革製造
BEF7	機器用皮帶製造
BEF7	機器用皮革零件製造
BF69	磨刀皮帶製造
A4EC	木材燻蒸
A4EC	木條鋸製
A4EC	木押條鋸製
A4EC	木材防腐處理
A4EC	木材化學處理
A4EC	木材防蟲處理
A4EC	木材防黴處理
A4EC	木材防蟻處理
A4EC	木材輻射處理
A4EC	木材表面碳化處理
A4EC	木材人造樹脂注入
A661	地板材鋸製
A8A4	角材鋸製
AA45	枕木鋸製
AA4F	板材鋸製
AAF9	門窗材鋸製
ABD8	建材鋸製
ACDB	相框材鋸製
AEE9	桅桿材鋸製
B0AE	乾燥處理
B1ED	桶板鋸製
B3CE	割材鋸製
B8CB	裝箱材鋸製
B971	電桿木鋸製
B9A2	飾條鋸製
BD63	箱板鋸製
BEEE	橫擔木鋸製
BEF0	樹皮處理
BFF7	鋸屑處理
C27A	璧板材鋸製
A4EC	木心板製造
A658	合板印花
A658	合板貼面
A658	合板壓花
A658	合板嵌花
A658	合板表面處理
A8BE	防火合板製造
A8BE	防腐合板製造
B2C9	粒片板製造
B3E6	單板製造
B6B0	集成（層積）材製造
B6EC	塑化木材製造
B8CB	裝箱用合板製造
BA63	構造用合板製造
BC68	層壓材製造
C5D6	纖維板製造
A4EC	木瓦製造
A4EC	木椽製造
A4EC	木門製造
A4EC	木樑製造
A4EC	木隔板製造
A4EC	木欄杆製造
A4EC	木押條製造
A4EC	木樓梯製造
A4EC	木雕門隔製作
A4EC	木質預製房屋製造
A4EC	木窗及其框架製造
A4EC	木質活動房屋製造
A4EC	木質串珠狀椽飾製造
A661	地板條製造
ABCE	屋頂板製造
ABF7	拼花地板製造
A4EC	木盒製造
A4EC	木斗製造
A4EC	木盆製造
A4EC	木桶製造
A4EC	木托盤製造
A4EC	木飼料槽釘製
A4EC	木質裝貨箱製造
A4EC	木質包裝箱製造
AA4F	板條箱編製
AC68	柳斗編製
AC68	柳簍編製
AC68	柳條籃編製
AC68	柳條筐編製
AC68	柳條箱製造
AC68	柳條盤編製
A4EC	木匙製造
A4EC	木槌製造
A4EC	木樁製造
A4EC	木砧製造
A4EC	木柄製造
A4EC	木橛製造
A4EC	木材染色
A4EC	木筷製造
A4EC	木梭製造
A4EC	木釘製造
A4EC	木塞製造
A4EC	木鍬製造
A4EC	木碟製造
A4EC	木櫓製造
A4EC	木框製造
A4EC	木鞋楦製造
A4EC	木禽欄製造
A4EC	木鏡框製造
A4EC	木路標製造
A4EC	木風車製造
A4EC	木招牌製造
A4EC	木搖籃製作
A4EC	木插筒製作
A4EC	木硯盒製作
A4EC	木手杖製造
A4EC	木花邊製造
A4EC	木叉耙製造
A4EC	木名牌製作
A4EC	木雕小件製造
A4EC	木製圖板製作
A4EC	木雕神像製作
A4EC	木和麵板製造
A4EC	木像框架製造
A4EC	木縫機座製作
A4EC	木畫報架製作
A4EC	木菸灰碟製造
A4EC	木洗衣板製造
A4EC	木質火柴梗製造
A4EC	木嵌貝殼細工製作
A4EC	木嵌文石細工製造
A4EC	木材合成樹脂處理
A4EC	木嵌象牙細工製作
A4EC	木嵌金屬細工製作
A4EC	木材聚乙二醇處理
A4EC	木擀麵杖製造
A4F5	火柴用木片製造
A6CB	竹材去皮
A6CB	竹筏製造
A6CB	竹篩製造
A6CB	竹架製造
A6CB	竹簍編製
A6CB	竹筷製造
A6CB	竹材鋸製
A6CB	竹箱製造
A6CB	竹耙製造
A6CB	竹筐編製
A6CB	竹材燻蒸
A6CB	竹笠編製
A6CB	竹籩編製
A6CB	竹筒車製
A6CB	竹絲剖製
A6CB	竹籃編製
A6CB	竹簾編製
A6CB	竹壁飾製造
A6CB	竹飾物製造
A6CB	竹白材剖製
A6CB	竹漏杓製造
A6CB	竹蒸籠製造
A6CB	竹皮盤編製
A6CB	竹細工製作
A6CB	竹桿材鋸製
A6CB	竹鳥籠製造
A6CB	竹片彎曲層積
A6CB	竹工藝品製造
AFAF	秤桿木製造
AFF3	草蓆織製
B36E	軟木瓦製造
B36E	軟木墊製造
B36E	軟木圈製造
B36E	軟木塞製造
B6EC	塑化藤條製造
B6EC	塑化柳材製造
B6EC	塑化竹材製造
BC68	層竹製造
BC68	層竹壁飾製造
BC68	層竹器皿製作
BC68	層竹飾物製造
BC68	層竹單板製造
BDA6	膠合軟木製品製造
